  14.750   1.6774   0.02015   0.01511   -0.0233   0.0105    1.0000
  15.000   1.6901   0.02091   0.01590   -0.0216   0.0102    1.0000
  15.250   1.7014   0.02178   0.01680   -0.0200   0.0099    1.0000
  15.500   1.7115   0.02277   0.01783   -0.0183   0.0095    1.0000
  15.750   1.7192   0.02397   0.01908   -0.0165   0.0091    1.0000
  16.000   1.7299   0.02500   0.02016   -0.0152   0.0091    1.0000
  16.250   1.7404   0.02609   0.02129   -0.0139   0.0090    1.0000
  16.500   1.7498   0.02730   0.02255   -0.0127   0.0089    1.0000
  16.750   1.7584   0.02863   0.02393   -0.0116   0.0088    1.0000
  17.000   1.7661   0.03010   0.02544   -0.0107   0.0087    1.0000
  17.250   1.7726   0.03171   0.02710   -0.0097   0.0086    1.0000
  17.500   1.7780   0.03348   0.02894   -0.0089   0.0084    1.0000
  17.750   1.7825   0.03542   0.03092   -0.0083   0.0083    1.0000
  18.000   1.7853   0.03758   0.03314   -0.0078   0.0082    1.0000
  18.250   1.7867   0.03995   0.03557   -0.0074   0.0081    1.0000
  18.500   1.7867   0.04256   0.03824   -0.0071   0.0079    1.0000
  18.750   1.7852   0.04546   0.04122   -0.0071   0.0078    1.0000
  19.000   1.7819   0.04863   0.04446   -0.0073   0.0076    1.0000
  19.250   1.7761   0.05223   0.04813   -0.0077   0.0075    1.0000
  19.500   1.7685   0.05614   0.05214   -0.0084   0.0074    1.0000
  19.750   1.7573   0.06063   0.05672   -0.0093   0.0072    1.0000
  20.000   1.7444   0.06544   0.06164   -0.0105   0.0071    1.0000
